person_age,gender,marital_status,income,no.of_dependents,person_emp_length,employment_stability,person_home_ownership,home_value,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,assets_worth,debt-asset_ratio,debt-income_ratio,tax,no.of _credit _cards,creditcard_usage%,cb_person_default_on_file,c_ length,defaulted_90d,defaulted_180d,defaulted_365d
22,Male,Un-Married,59000,4,1,1,RENT,-,PERSONAL,D,35000,16.02,1,6370428,0.55%,59.00%,10,2,17,Y,3,N,N,Y
21,Male,Un-Married,9600,6,5,2,OWN,6373043,EDUCATION,B,1000,11.14,0,7538980,0.01%,10.00%,5,2,24,N,2,Non-def,Non-def,Non-def
25,Male,Married,9600,3,1,1,MORTGAGE,6076510,MEDICAL,C,5500,12.87,1,8060491,0.07%,57.00%,5,3,62,N,3,Non-def,Non-def,Non-def
23,Male,Un-Married,65500,5,4,2,RENT,-,MEDICAL,C,35000,15.23,1,5031717,0.70%,53.00%,10,2,56,N,2,Non-def,Non-def,Non-def
24,Male,Un-Married,54400,0,8,3,RENT,-,MEDICAL,C,35000,14.27,1,3733055,0.94%,55.00%,10,3,28,Y,4,N,N,Y
21,Female,Un-Married,9900,5,2,2,OWN,5899467,VENTURE,A,2500,7.14,1,6033248,0.04%,25.00%,5,1,44,N,2,Non-def,Non-def,Non-def
26,Female,Married,77100,6,8,3,RENT,-,EDUCATION,B,35000,12.42,1,5496959,0.64%,45.00%,15,0,60,N,3,Non-def,Non-def,Non-def
24,Male,Un-Married,78956,5,5,2,RENT,-,MEDICAL,B,35000,11.11,1,6166834,0.57%,44.00%,15,0,43,N,4,Non-def,Non-def,Non-def
24,Male,Un-Married,83000,1,8,3,RENT,-,PERSONAL,A,35000,8.9,1,1548590,2.26%,42.00%,15,0,67,N,2,Non-def,Non-def,Non-def
21,Male,Un-Married,10000,2,6,3,OWN,7856407,VENTURE,D,1600,14.74,1,5250287,0.03%,16.00%,5,2,4,N,3,Non-def,Non-def,Non-def
22,Male,Un-Married,85000,6,6,3,RENT,-,VENTURE,B,35000,10.37,1,4636420,0.75%,41.00%,15,3,68,N,4,Non-def,Non-def,Non-def
21,Female,Un-Married,10000,1,2,2,OWN,8860108,HOMEIMPROVEMENT,A,4500,8.63,1,7859451,0.06%,45.00%,5,1,40,N,2,Non-def,Non-def,Non-def
23,Male,Un-Married,95000,4,2,2,RENT,-,VENTURE,A,35000,7.9,1,3264009,1.07%,37.00%,15,0,68,N,2,Non-def,Non-def,Non-def
26,Female,Married,108160,6,4,2,RENT,-,EDUCATION,E,35000,18.39,1,1388759,2.52%,32.00%,15,1,3,N,4,Non-def,Non-def,Non-def
23,Female,Un-Married,115000,1,2,2,RENT,-,EDUCATION,A,35000,7.9,0,6405193,0.55%,30.00%,15,2,30,N,4,Non-def,Non-def,Non-def
23,Male,Un-Married,500000,1,7,3,MORTGAGE,6908871,DEBTCONSOLIDATION,B,30000,10.65,0,8615363,0.35%,6.00%,15,1,35,N,3,Non-def,Non-def,Non-def
23,Male,Un-Married,120000,1,0,1,RENT,-,EDUCATION,A,35000,7.9,0,7266977,0.48%,29.00%,15,1,35,N,4,Non-def,Non-def,Non-def
23,Male,Un-Married,92111,0,7,3,RENT,-,MEDICAL,F,35000,20.25,1,5237958,0.67%,32.00%,15,0,35,N,4,Non-def,Non-def,Non-def
23,Male,Un-Married,113000,2,8,3,RENT,-,DEBTCONSOLIDATION,D,35000,18.25,1,5202332,0.67%,31.00%,15,2,42,N,4,Non-def,Non-def,Non-def
24,Female,Un-Married,10800,2,8,3,MORTGAGE,8845324,EDUCATION,B,1750,10.99,1,7657715,0.02%,16.00%,5,1,70,N,2,Non-def,Non-def,Non-def
25,Male,Married,162500,0,2,2,RENT,-,VENTURE,A,35000,7.49,0,1923752,1.82%,22.00%,15,0,25,N,4,Non-def,Non-def,Non-def
25,Female,Married,137000,0,9,3,RENT,-,PERSONAL,E,34800,16.77,0,7243896,0.48%,25.00%,15,2,1,Y,2,Y,Y,Y
22,Female,Un-Married,65000,4,4,2,RENT,-,EDUCATION,D,34000,17.58,1,4460749,0.76%,52.00%,10,0,31,N,4,Non-def,Non-def,Non-def
24,Female,Un-Married,10980,6,0,1,OWN,7972274,PERSONAL,A,1500,7.29,0,8016475,0.02%,14.00%,5,0,23,N,3,Non-def,Non-def,Non-def
22,Male,Un-Married,80000,5,3,2,RENT,-,PERSONAL,D,33950,14.54,1,8845546,0.38%,42.00%,15,0,42,Y,4,N,Y,Y
24,Male,Un-Married,67746,2,8,3,RENT,-,HOMEIMPROVEMENT,C,33000,12.68,1,8732695,0.38%,49.00%,10,1,63,N,3,Non-def,Non-def,Non-def
21,Male,Un-Married,11000,2,3,2,MORTGAGE,9541336,VENTURE,E,4575,17.74,1,1788084,0.26%,42.00%,5,3,67,Y,3,Y,Y,Y
23,Female,Un-Married,11000,5,0,1,OWN,8634601,PERSONAL,A,1400,9.32,0,4112809,0.03%,13.00%,5,1,47,N,3,Non-def,Non-def,Non-def
24,Male,Un-Married,65000,2,6,3,RENT,-,HOMEIMPROVEMENT,B,32500,9.99,1,6615349,0.49%,50.00%,10,0,54,N,3,Non-def,Non-def,Non-def
21,Female,Un-Married,11389,4,5,2,OTHER,-,EDUCATION,C,4000,12.84,1,5610962,0.07%,35.00%,5,0,25,Y,2,Y,Y,Y
21,Female,Un-Married,11520,6,5,2,OWN,9486484,MEDICAL,B,2000,11.12,1,1500011,0.13%,17.00%,5,0,33,N,3,Non-def,Non-def,Non-def
25,Female,Married,120000,2,2,2,RENT,-,VENTURE,A,32000,6.62,0,5736250,0.56%,27.00%,15,0,23,N,2,Non-def,Non-def,Non-def
26,Female,Married,95000,1,7,3,RENT,-,HOMEIMPROVEMENT,C,31050,14.17,1,5715786,0.54%,33.00%,15,1,17,Y,3,Y,Y,Y
25,Male,Married,306000,1,2,2,RENT,-,DEBTCONSOLIDATION,C,24250,13.85,0,1191311,2.04%,8.00%,15,1,0,N,3,Non-def,Non-def,Non-def
26,Male,Married,300000,0,10,3,MORTGAGE,7629053,MEDICAL,C,7800,13.49,0,2292067,0.34%,3.00%,15,3,12,N,4,Non-def,Non-def,Non-def
21,Male,Un-Married,12000,3,5,2,OWN,9385492,EDUCATION,A,2500,7.51,1,6635235,0.04%,21.00%,5,1,59,N,4,Non-def,Non-def,Non-def
22,Female,Un-Married,48000,0,1,1,RENT,-,EDUCATION,E,30000,18.39,1,6239041,0.48%,63.00%,7,2,31,N,2,Non-def,Non-def,Non-def
24,Male,Un-Married,64000,4,8,3,RENT,-,DEBTCONSOLIDATION,D,30000,14.54,1,1713763,1.75%,47.00%,10,1,18,Y,3,Y,Y,Y
25,Male,Married,75000,5,4,2,RENT,-,HOMEIMPROVEMENT,D,30000,16.89,1,2457931,1.22%,40.00%,15,0,26,Y,4,Y,Y,Y
